timestamp,cpu_percent,memory_percent,memory_used,memory_availabe,disk_percent,disk_used,disk_free,bytes_sent,bytes_received
2024-11-13 20:38:07,6.7,80.1,3076.484375,1626.875,87.4,12592.8046875,1822.8984375,750.6806640625,717.68359375
2024-11-13 20:38:13,8.1,78.2,2978.59375,1784.890625,87.4,12592.8046875,1822.875,750.6923828125,717.703125
2024-11-13 20:38:19,11.3,79.1,3123.9375,1708.703125,87.3,12592.8046875,1826.80859375,750.70703125,717.71875
2024-11-13 20:38:25,3.9,78.7,3112.21875,1740.875,87.3,12592.8046875,1826.80078125,750.70703125,717.7197265625
2024-11-13 20:38:31,18.2,79.6,3110.703125,1670.90625,87.3,12592.8046875,1826.72265625,750.73046875,717.7451171875
2024-11-13 20:38:37,4.2,80.3,3063.609375,1612.734375,87.3,12592.8046875,1826.59765625,750.7314453125,717.7470703125
2024-11-13 20:38:43,8.3,80.7,3047.171875,1584.671875,87.3,12592.8046875,1826.5390625,750.7412109375,717.7578125
2024-11-13 20:38:50,2.6,79.9,3007.3125,1643.375,87.4,12592.8046875,1823.5078125,750.7412109375,717.7578125
2024-11-13 20:38:56,9.5,80.1,3032.875,1628.015625,87.4,12592.8046875,1823.41796875,750.78125,717.767578125
2024-11-13 20:39:02,13.1,80.0,3040.8125,1636.6875,87.4,12592.8046875,1823.19140625,750.7978515625,717.7880859375
2024-11-13 20:39:08,14.3,80.6,3050.640625,1590.859375,87.3,12592.8046875,1829.33203125,750.828125,717.8515625
2024-11-13 20:39:14,5.1,80.8,3060.578125,1569.484375,87.3,12592.8046875,1829.33203125,750.8310546875,717.8564453125
2024-11-13 20:39:20,7.8,80.2,2941.1875,1623.578125,87.3,12592.8046875,1828.625,750.849609375,717.8798828125
2024-11-13 20:39:26,2.5,80.3,2933.578125,1612.515625,87.3,12592.8046875,1827.9296875,750.8671875,717.890625
2024-11-13 20:39:32,3.7,79.7,2922.890625,1663.671875,87.3,12592.8046875,1827.84375,750.8671875,717.890625
2024-11-13 20:39:38,4.5,81.0,3000.390625,1556.328125,87.3,12592.8046875,1827.828125,750.8681640625,717.890625
2024-11-13 20:39:44,19.5,81.5,2899.203125,1512.640625,87.3,12592.8046875,1827.484375,750.87890625,717.90625
2024-11-13 20:39:50,3.9,81.5,2884.9375,1516.296875,87.3,12592.8046875,1827.47265625,750.8798828125,717.908203125
2024-11-13 20:39:56,3.4,80.9,2925.96875,1560.578125,87.3,12592.8046875,1827.23046875,750.8916015625,717.921875
2024-11-13 20:40:02,7.3,80.3,2988.6875,1614.5625,87.3,12592.8046875,1826.9375,750.892578125,717.9228515625
